16-06-18_17-41-03-625 | 
SS =    150 | FJLT:      1 | d =     32 | k =      5 | er =  0.450 | TP =  15 | accuracy =   97.3 | 
SS =    150 | FJLT:      1 | d =     32 | k =      6 | er =  0.450 | TP =  15 | accuracy =   98.7 | 
SS =    150 | FJLT:      1 | d =     32 | k =      7 | er =  0.450 | TP =  15 | accuracy =   95.3 | 
SS =    150 | FJLT:      1 | d =     32 | k =      8 | er =  0.450 | TP =  15 | accuracy =   96.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      9 | er =  0.450 | TP =  15 | accuracy =   98.7 | 
SS =    150 | FJLT:      1 | d =     32 | k =     10 | er =  0.450 | TP =  15 | accuracy =   98.7 | 
SS =    150 | FJLT:      2 | d =     32 | k =      2 | er =  0.450 | TP =  15 | accuracy =   79.3 | 
SS =    150 | FJLT:      2 | d =     32 | k =      3 | er =  0.450 | TP =  15 | accuracy =   90.7 | 
SS =    150 | FJLT:      2 | d =     32 | k =      4 | er =  0.450 | TP =  15 | accuracy =   86.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      5 | er =  0.450 | TP =  15 | accuracy =   96.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      6 | er =  0.450 | TP =  15 | accuracy =   96.7 | 
SS =    150 | FJLT:      2 | d =     32 | k =      7 | er =  0.450 | TP =  15 | accuracy =   96.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      8 | er =  0.450 | TP =  15 | accuracy =   92.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      9 | er =  0.450 | TP =  15 | accuracy =   98.7 | 
SS =    150 | FJLT:      2 | d =     32 | k =     10 | er =  0.450 | TP =  15 | accuracy =   98.0 | 
16-06-18_17-48-39-499 | 
SS =    150 | FJLT:      0 | d =     32 | k =     32 | er =  0.450 | TP =  15 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      2 | er =  0.450 | TP =  15 | accuracy =   94.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      3 | er =  0.450 | TP =  15 | accuracy =   94.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      4 | er =  0.450 | TP =  15 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      5 | er =  0.450 | TP =  15 | accuracy =   99.3 | 
SS =    150 | FJLT:      1 | d =     32 | k =      6 | er =  0.450 | TP =  15 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      7 | er =  0.450 | TP =  15 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      8 | er =  0.450 | TP =  15 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =      9 | er =  0.450 | TP =  15 | accuracy =  100.0 | 
SS =    150 | FJLT:      1 | d =     32 | k =     10 | er =  0.450 | TP =  15 | accuracy =  100.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      2 | er =  0.450 | TP =  15 | accuracy =   90.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      3 | er =  0.450 | TP =  15 | accuracy =   95.3 | 
SS =    150 | FJLT:      2 | d =     32 | k =      4 | er =  0.450 | TP =  15 | accuracy =   98.0 | 
SS =    150 | FJLT:      2 | d =     32 | k =      5 | er =  0.450 | TP =  15 | accuracy =   97.3 | 
